Indicadores,Tipo,Descrição,Objetivo estratégico
NPS,Reputação,"O NPS é o principal indicador de reputação. É calculado a partir da relação entre os impactos promotores, detratores e inócuos. No cálculo, o numerador é a diferença entre os promotores e detratres. E o denominador é a soma do impactos promotores, detratores e inócuos. Desta forma, o valor vai de 1 a -1. ","Permitir que a organização monitore, de forma contínua e comparável ao longo do tempo, a evolução da sua reputação institucional, identificando riscos reputacionais, impactos de crises, efeitos de campanhas e mudanças estruturais na percepção pública da marca."
Positividade,Reputação,"O indicador de positividade mensura a proporção e a intensidade das menções favoráveis à marca, considerando tanto o volume quanto o alcance das interações. Ele reflete o grau de aceitação, apoio e aprovação da marca no debate público.","Avaliar a capacidade da comunicação institucional de gerar percepção positiva e fortalecer atributos reputacionais, apoiando decisões sobre posicionamento, narrativa institucional e priorização de temas com maior retorno reputacional."
Protagonismo,Reputação,"O protagonismo é o indicador que mede o quanto a marca é relevante na edição da publicação, indicando o quanto a audiência pode lembra ou não da empresa.","Orientar estratégias para ampliar a visibilidade qualificada da marca, garantindo que a organização ocupe espaço relevante no debate público e exerça influência narrativa em temas estratégicos para o negócio e para a reputação institucional."
Impressões Promotoras,Reputação,"A impressão promotora é a combinação da exposição mais favorável, com alto nível de protagonismo e em veículos de alta relevância.","Mensurar a capacidade da comunicação institucional de amplificar mensagens favoráveis, reforçar atributos estratégicos da marca e maximizar o impacto positivo da exposição pública junto aos principais públicos de interesse."
Impressões Detratoras​​,Reputação,"A impressão detratora é a combinação da exposição mais favorável, com alto nível de protagonismo e em veículos de alta relevância.","Antecipar riscos reputacionais, apoiar estratégias de mitigação de crises e orientar decisões táticas de resposta, correção de narrativa e realocação de esforços de comunicação para reduzir impactos negativos."
Contribuição por Temas,Reputação,A contribuição serve para ver o quanto o tema está contribuindo para a construção da reputação (NPS) da marca,"Apoiar a tomada de decisão da comunicação institucional ao identificar quais temas fortalecem ou fragilizam a reputação da marca, orientando a priorização de agendas, narrativas e posicionamentos estratégicos."
Contribuição por Marcas,Reputação,A contribuição serve para ver o quanto as marcas está contribuindo para a construção da reputação (NPS) da empresa,Apoiar a tomada de decisão da comunicação institucional ao identificar marcas mais sensíveis a riscos reputacionais ou com maior potencial de geração de valor institucional.
Contribuição por Ações,Reputação,A contribuição serve para ver o quanto as ações de comunicação está contribuindo para a construção da reputação (NPS) da marca,Apoiar a tomada de decisão da comunicação institucional ao avaliar a efetividade das ações realizadas e orientar ajustes estratégicos em campanhas e iniciativas futuras.
Frequência,Exposição,O indicador identifica a frequência de o quanto a marca aparece nas mídias,"Apoiar a tomada de decisão da comunicação institucional ao monitorar a visibilidade da marca e identificar picos de atenção, crises ou oportunidades de amplificação."
Cadência de Publicações,Exposição,"A cadência de exposição mede a frequência, mas leva em consideração o tempo (semana, dia, mês) no qual a marca está sendo exposta.","Apoiar a tomada de decisão da comunicação institucional ao otimizar o ritmo de publicações, garantindo presença consistente e evitando lacunas ou excessos de exposição."
Valoração,Exposição,A valoração representa o valor monetário da exposição da mídia,Apoiar a tomada de decisão da comunicação institucional ao compreender a qualidade da percepção pública e ajustar narrativas para fortalecimento de atributos estratégicos.
Impressões totais,Exposição,A impressão é o indicador que mostra o quantas pessoas e a frequência as quais elas foram impactadas pela publicação,Apoiar a tomada de decisão da comunicação institucional ao dimensionar o alcance das narrativas institucionais e seu potencial de impacto reputacional.
Diversidade jornalistas,Exposição,Mostra o quantidade de jornalistas que publicaram sobre a marca,Apoiar a tomada de decisão da comunicação institucional ao avaliar a capilaridade da cobertura e reduzir dependência de poucos interlocutores midiáticos.
Share de frequência,Share of Voice,Mede o quanto a marca e seus concorrentes estão aparecendo nas mídias,Apoiar a tomada de decisão da comunicação institucional ao comparar visibilidade da marca frente a concorrentes e identificar ganhos ou perdas de espaço no debate público.
Share de impressões,Share of Voice,Mede o quanto a marca e seus concorrentes estão sendo exposta de forma qualificada nas mídias,Apoiar a tomada de decisão da comunicação institucional ao avaliar competitividade da marca em termos de exposição e impacto frente aos principais players.
Total de ações,Ações de comunicação,Mede o quanto as marcas estão fazendo de ações de comunicação ,Apoiar a tomada de decisão da comunicação institucional ao monitorar esforço operacional e alinhar volume de ações aos objetivos estratégicos.
Impacto das ações,Ações de comunicação,Mede o quanto as ações de comunicação estão impactando as audiência ,Apoiar a tomada de decisão da comunicação institucional ao avaliar retorno reputacional das ações realizadas e orientar investimentos futuros.