Público de interesse de fatos comunicávies,Mídia Impactada
Acionistas/investidores,Imprensa Nacional; Influenciadores; Linkedin; Imprensa Especializada
Colaboradores,Páginas internas; Linkedin
Fornecedores (B2B),Linkedin; Buscadores; Email; Imprensa Especializada; Imprensa Geral; Influenciadores
Mercado (concorrência),Imprensa; Imprensa Especalizada; Influenciadores; Social Media
Clientes/consumidores,Influenciadores; Social Media; Buscadores; Imprensa Nacional; Rádio e TV
Governo,Imprensa Nacional; Rel Gov.
Órgãos Reguladores,Imprensa Nacional; Rel Gov.
Regionais,Imprensa Regional; Influenciadores Específicas
Público Geral,Social Media; Rádio e TV
Formadores de Opinião,Influenciadores; Imprensa Nacional
Opinião Pública,Rádio e TV; Imprensa Nacional; Social Media; Infuenciadores